Modelo,Validação MSE,Validação MAE,Teste MSE,Teste MAE
Regressão Linear,0.0337649467402008,0.14390468252495245,0.032400969960793474,0.13998458616352252
Random Forest,0.015200453591424747,0.0850487020322902,0.0582773332518217,0.18027347100658558
K-Nearest Neighbors,0.01535779382370625,0.0869398684369971,0.06443838141727144,0.189808850312489
Support Vector Regression,0.023031615858696643,0.12108220105140266,0.13806284587291398,0.31160732317350837
Redes Neuronais,0.028430989585397786,0.13393640521673253,0.03598636821301645,0.1681188214487628
